id,stock_code,stock_name,close,change_rate,change_amount,volume,amount,amplitude,high,low,open,pre_close,volume_ratio,turnover,pe_dynamic,pb
5155,301333,诺思格,53.30,-1.97%,-1.07,1.35万,7230.16万,2.63%,54.65,53.22,54.33,54.37,0.94,1.40%,56.38,2.58
5156,301187,欧圣电气,20.91,-1.97%,-0.42,2.24万,4710.84万,3.14%,21.48,20.81,21.37,21.33,0.54,0.88%,119.87,3.64
5157,301089,拓新药业,25.36,-1.97%,-0.51,2.30万,5859.60万,3.94%,26.18,25.16,26.01,25.87,0.88,2.54%,-76.34,2.18
5158,603078,江化微,34.25,-1.97%,-0.69,46.57万,15.97亿,5.52%,35.74,33.81,34.81,34.94,0.84,12.08%,114.75,6.62
5159,002653,海思科,51.12,-1.98%,-1.03,3.38万,1.72亿,4.70%,52.60,50.15,52.60,52.15,0.89,0.63%,25.81,12.60
5160,600050,中国联通,4.46,-1.98%,-0.09,392.30万,17.54亿,3.08%,4.56,4.42,4.55,4.55,0.84,1.27%,16.31,0.82
5161,603683,晶华新材,27.20,-1.98%,-0.55,10.44万,2.84亿,3.53%,27.77,26.79,27.70,27.75,1.11,3.62%,77.46,4.68
5162,300972,万辰集团,209.50,-1.98%,-4.24,1.53万,3.21亿,3.42%,215.50,208.19,215.00,213.74,0.89,0.86%,16.15,21.22
5163,301339,通行宝,12.35,-1.98%,-0.25,5.40万,6699.98万,4.29%,12.77,12.23,12.59,12.60,1.23,0.95%,33.97,2.55
5164,000661,长春高新,79.00,-1.99%,-1.60,4.72万,3.74亿,2.74%,80.99,78.78,80.89,80.60,1.08,1.18%,29.22,1.45
5165,002238,天威视讯,6.90,-1.99%,-0.14,8.63万,5946.65万,4.12%,7.09,6.80,7.04,7.04,0.94,1.08%,-64.27,2.84
5166,605296,神农集团,28.08,-1.99%,-0.57,3.93万,1.11亿,4.40%,29.20,27.94,28.68,28.65,0.71,0.76%,-5.68,3.44
5167,603533,掌阅科技,25.10,-1.99%,-0.51,16.10万,4.06亿,3.44%,25.83,24.95,25.61,25.61,0.65,3.67%,-81.66,4.80
5168,600197,伊力特,12.24,-2.00%,-0.25,6.24万,7690.49万,2.88%,12.55,12.19,12.48,12.49,1.05,1.32%,13.80,1.45
5169,000586,汇源通信,17.62,-2.00%,-0.36,18.28万,3.19亿,4.56%,17.73,16.91,17.66,17.98,0.87,9.56%,-153.68,10.70
5170,600859,王府井,10.76,-2.00%,-0.22,15.50万,1.68亿,2.64%,11.05,10.76,11.01,10.98,1.12,1.38%,58.55,0.62
5171,600053,*ST九鼎,9.77,-2.01%,-0.20,6.70万,6574.08万,2.71%,9.96,9.69,9.84,9.97,0.73,1.55%,-30.96,1.90
5172,002939,长城证券,8.78,-2.01%,-0.18,45.60万,4.03亿,3.24%,9.06,8.77,9.00,8.96,0.92,1.27%,14.27,1.09
5173,600557,康缘药业,12.18,-2.01%,-0.25,7.17万,8760.42万,3.38%,12.50,12.08,12.44,12.43,1.08,1.27%,21.75,1.41
5174,603983,丸美生物,23.79,-2.02%,-0.49,2.12万,5074.41万,3.25%,24.49,23.70,24.45,24.28,1.22,0.53%,23.61,2.78
5175,002510,天汽模,7.28,-2.02%,-0.15,44.80万,3.26亿,3.63%,7.43,7.16,7.38,7.43,0.67,4.46%,125.80,2.92
